Year,Season,Location,Crop_Type,Temperature_C,Rainfall_mm,Humidity_pct,Soil_Type,Soil_Moisture_pct,Irrigation_mm,N_Fertilizer,P_Fertilizer,K_Fertilizer,Yield_kg_per_ha
2016,Zaid,Region_Central,Soybean,34.81,959.09,78.63,Loam,22.03,221.25,142.0,31.71,50.06,97.82
2013,Zaid,Region_South,Rice,31.26,801.99,76.14,Sandy,58.49,10.49,81.8,68.47,63.08,1078.83
2022,Zaid,Region_South,Wheat,23.23,842.02,100.0,Loam,13.96,344.36,86.13,63.05,9.49,200.74
2024,Zaid,Region_West,Rice,37.05,902.23,65.88,Loam,49.42,242.5,84.11,86.32,36.58,2006.46
2020,Zaid,Region_South,Wheat,35.74,641.83,100.0,Clay,29.73,401.98,112.36,61.46,21.61,570.31
2017,Kharif,Region_East,Soybean,31.14,945.58,91.36,Sandy,55.53,306.13,108.85,44.9,50.95,83.96
2022,Zaid,Region_North,Soybean,32.2,1034.05,65.53,Loam,33.67,396.88,143.79,52.4,33.85,107.15
2014,Zaid,Region_South,Wheat,23.09,1239.46,82.07,Sandy,40.46,677.86,113.73,19.77,56.29,312.67
2016,Kharif,Region_Central,Wheat,33.87,895.51,66.77,Loam,47.76,492.31,129.91,37.99,13.14,381.76
2019,Kharif,Region_East,Rice,37.43,633.31,48.45,Sandy,58.81,247.4,73.29,20.69,30.52,1274.02
2012,Kharif,Region_Central,Soybean,24.43,769.12,69.88,Loam,31.45,363.48,129.66,68.6,80.07,127.97
2016,Kharif,Region_East,Rice,36.73,457.11,47.99,Silt,30.75,317.64,100.86,10.63,35.93,1783.07
2020,Kharif,Region_South,Wheat,35.66,1018.21,73.49,Sandy,47.67,340.26,97.95,35.08,61.64,284.17
2020,Kharif,Region_North,Maize,24.28,182.08,82.01,Silt,16.19,64.86,94.14,19.0,18.86,793.93
2017,Zaid,Region_Central,Maize,30.03,1107.4,66.75,Silt,14.24,458.16,180.45,60.17,10.26,485.83
2014,Zaid,Region_East,Maize,25.02,1143.6,73.46,Silt,45.5,0.0,72.81,43.4,68.1,1728.13
2013,Rabi,Region_West,Wheat,22.67,0.0,73.22,Loam,50.04,297.43,147.07,39.4,56.12,1982.54
2017,Zaid,Region_South,Rice,34.24,1182.58,82.67,Sandy,45.01,36.5,118.14,16.37,31.65,1892.16
2017,Zaid,Region_North,Soybean,25.4,1108.19,71.34,Loam,38.53,194.48,65.6,68.52,72.68,157.1
2012,Kharif,Region_South,Wheat,31.93,712.98,65.28,Loam,31.92,331.45,108.1,21.42,27.58,633.31
2015,Kharif,Region_West,Maize,33.2,442.46,81.98,Sandy,63.81,430.29,26.54,31.9,22.87,1007.35
2014,Zaid,Region_North,Rice,35.27,548.67,72.38,Clay,65.77,453.3,188.78,39.91,40.31,1608.98
2011,Rabi,Region_West,Soybean,25.27,572.44,37.97,Loam,41.61,271.05,105.28,50.74,34.59,194.45
2017,Kharif,Region_South,Soybean,23.86,1194.82,64.75,Silt,29.74,448.58,164.62,34.24,16.8,129.35
2021,Zaid,Region_East,Wheat,31.39,665.29,62.24,Loam,24.86,290.61,173.83,68.74,37.65,744.12
2023,Zaid,Region_South,Wheat,33.76,1071.6,72.21,Clay,46.47,193.17,97.28,41.11,45.04,421.02
2015,Rabi,Region_South,Soybean,30.31,762.78,70.6,Silt,21.57,356.0,121.17,73.32,56.6,76.08
2011,Rabi,Region_South,Soybean,23.01,816.52,40.74,Loam,21.92,162.38,127.42,21.6,93.17,69.41
2025,Kharif,Region_Central,Maize,32.13,328.58,47.62,Sandy,32.74,280.02,196.01,50.56,64.49,3000.9
2021,Rabi,Region_West,Soybean,18.34,455.88,55.71,Silt,47.61,228.19,112.35,25.22,18.81,424.35
2014,Zaid,Region_West,Wheat,26.23,1187.93,70.97,Clay,62.03,67.49,117.85,36.88,94.46,329.33
2010,Zaid,Region_West,Rice,25.58,753.28,86.11,Loam,43.76,349.44,64.04,13.35,41.02,1443.13
2021,Rabi,Region_Central,Maize,20.9,890.2,45.95,Sandy,47.45,321.6,84.24,67.5,46.64,1090.97
2019,Rabi,Region_East,Maize,33.31,1341.91,59.92,Silt,54.74,472.58,100.01,67.49,26.41,471.19
2015,Rabi,Region_South,Soybean,20.99,761.71,69.27,Silt,53.34,19.73,172.05,64.52,39.82,260.92
2022,Rabi,Region_East,Rice,24.82,744.73,56.03,Sandy,31.72,193.01,195.73,59.23,39.5,1572.02
2021,Kharif,Region_Central,Maize,32.79,1161.83,71.31,Clay,53.07,469.2,140.04,94.92,53.61,673.88
2018,Rabi,Region_West,Wheat,17.54,803.7,79.6,Silt,55.48,379.44,134.04,44.23,58.16,505.86
2010,Kharif,Region_South,Soybean,27.82,896.0,58.65,Clay,44.66,408.66,147.39,73.73,32.41,121.5
2020,Zaid,Region_North,Wheat,35.12,1099.04,74.91,Clay,42.05,517.76,92.61,39.8,63.85,273.79
2020,Rabi,Region_North,Soybean,25.14,800.03,68.28,Sandy,48.99,185.33,175.6,52.21,29.09,86.29
2024,Kharif,Region_East,Maize,20.03,1036.28,52.76,Silt,47.43,170.37,62.76,56.47,62.33,1258.69
2019,Rabi,Region_West,Soybean,25.97,765.25,67.89,Loam,12.05,428.39,101.81,3.74,26.85,73.68
2025,Zaid,Region_North,Rice,29.25,1094.34,76.85,Sandy,46.43,395.06,146.13,37.75,17.33,1802.9
2021,Zaid,Region_East,Wheat,29.38,926.4,91.21,Sandy,57.69,281.22,100.75,35.56,34.05,294.3
2021,Zaid,Region_Central,Rice,34.02,732.38,94.66,Clay,54.83,276.94,218.74,39.5,35.07,1157.27
2025,Rabi,Region_East,Wheat,30.61,822.27,61.48,Loam,45.66,154.35,146.7,25.64,20.3,1526.88
2024,Rabi,Region_East,Wheat,22.0,66.7,60.58,Sandy,42.22,536.77,159.34,43.31,32.41,2008.65
2023,Kharif,Region_East,Soybean,35.9,1158.13,70.61,Clay,34.05,603.97,89.64,47.14,29.16,104.79
2023,Zaid,Region_South,Maize,24.8,423.61,61.86,Silt,38.28,467.57,158.6,19.91,40.05,3809.2
2024,Rabi,Region_East,Maize,23.65,479.26,88.2,Clay,50.91,397.94,152.4,40.75,50.95,2749.82
2023,Zaid,Region_East,Rice,29.29,668.59,71.51,Loam,45.77,388.48,182.58,35.03,38.36,2487.33
2012,Zaid,Region_South,Soybean,33.41,262.11,70.83,Loam,53.56,349.65,32.31,64.11,21.31,1059.21
2021,Kharif,Region_South,Maize,28.52,940.28,79.65,Clay,32.21,35.61,88.78,51.57,32.72,2082.65
2016,Kharif,Region_Central,Wheat,23.29,908.3,72.4,Silt,56.25,228.63,133.45,24.61,59.82,324.74
2013,Kharif,Region_West,Wheat,25.56,654.04,74.58,Loam,30.72,422.97,134.65,59.56,26.74,463.06
2025,Kharif,Region_North,Soybean,21.78,596.59,73.95,Loam,43.04,172.95,118.2,38.97,20.77,484.7
2018,Zaid,Region_North,Rice,25.47,591.98,67.83,Silt,31.57,323.31,58.88,41.26,9.25,1261.46
2012,Kharif,Region_East,Soybean,32.4,984.44,56.46,Sandy,38.52,473.54,127.86,21.53,26.32,95.89
2014,Kharif,Region_Central,Rice,28.74,321.88,96.39,Loam,70.51,475.95,132.34,44.04,56.51,2059.06
2012,Kharif,Region_East,Soybean,31.15,677.3,56.41,Clay,47.64,440.58,119.88,58.89,25.39,113.69
2016,Kharif,Region_North,Wheat,39.08,341.17,94.81,Silt,43.38,342.55,118.53,35.19,39.27,1410.77
2014,Zaid,Region_South,Soybean,30.52,1030.62,75.12,Loam,61.18,419.67,157.69,71.61,30.2,105.68
2018,Kharif,Region_West,Maize,33.17,699.13,60.98,Sandy,1.53,263.79,113.84,58.06,29.01,1555.82
2016,Zaid,Region_Central,Maize,32.14,964.02,78.32,Loam,37.62,555.46,70.0,23.31,66.27,403.55
2011,Rabi,Region_South,Soybean,36.81,1174.86,81.79,Sandy,32.5,61.38,176.14,45.23,37.02,57.34
2013,Zaid,Region_West,Rice,16.91,1179.93,95.77,Loam,27.14,310.19,173.88,12.47,14.91,1417.55
2018,Zaid,Region_Central,Rice,28.41,493.37,50.27,Loam,17.07,229.33,118.41,20.67,9.45,1220.3
2021,Kharif,Region_Central,Wheat,33.27,892.84,67.9,Clay,36.71,402.36,155.0,5.19,18.84,285.68
2023,Rabi,Region_North,Wheat,19.24,1136.42,90.66,Silt,50.4,249.08,59.04,7.88,16.54,308.55
2011,Rabi,Region_South,Rice,25.83,1008.94,81.2,Silt,37.8,662.72,114.22,34.07,57.23,1290.82
2019,Rabi,Region_Central,Soybean,22.7,1038.6,77.29,Clay,51.98,437.36,51.43,36.2,35.84,179.98
2018,Rabi,Region_Central,Wheat,27.32,265.0,92.18,Silt,41.07,150.21,164.99,44.54,41.31,1696.67
2019,Zaid,Region_West,Rice,26.34,1004.34,67.3,Silt,57.49,0.0,60.16,22.07,34.98,1304.94
2014,Rabi,Region_North,Rice,23.86,562.12,34.03,Silt,32.46,129.31,103.55,56.67,35.96,986.33
2011,Zaid,Region_East,Soybean,34.33,999.41,64.5,Loam,11.91,384.22,128.63,35.73,58.84,82.0
2013,Zaid,Region_North,Maize,32.66,992.84,100.0,Loam,16.29,260.51,152.96,46.2,60.32,1227.82
2021,Zaid,Region_East,Rice,32.75,976.98,74.48,Sandy,32.53,213.94,141.09,0.0,75.78,1903.11
2024,Rabi,Region_South,Wheat,29.01,766.81,57.36,Sandy,26.8,191.49,165.72,40.06,22.44,966.83
2021,Kharif,Region_South,Soybean,21.6,1194.83,90.01,Silt,31.14,424.47,152.16,55.74,32.18,107.31
2016,Kharif,Region_Central,Soybean,30.62,953.09,82.67,Silt,57.08,250.33,172.34,0.0,43.9,108.68
